2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第67期-2023年度-20250626_074838_738094.json20250626_103738_385890.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第68期-2023年度-20250626_074838_391493.json20250626_103738_387822.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第69期-2023年度-20250626_074838_083976.json20250626_103738_389796.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第6期-2022年度-20250626_074832_325752.json20250626_103738_391683.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第70期-2023年度-20250626_074837_761901.json20250626_103738_393714.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第71期-2023年度-20250626_074837_466769.json20250626_103738_395853.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第72期-2023年度-20250626_074837_120751.json20250626_103738_397999.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第73期-2023年度-20250626_074836_819930.json20250626_103738_400154.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第74期-2023年度-20250626_074836_232412.json20250626_103738_402182.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第75期-2023年度-20250626_074835_877167.json20250626_103738_404165.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第76期-2023年度-20250626_074835_586640.json20250626_103738_406092.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第77期-2023年度-20250626_074835_300926.json20250626_103738_408151.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第78期-2023年度-20250626_074835_024794.json20250626_103738_410133.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第79期-2023年度-20250626_074834_746210.json20250626_103738_412038.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第7期-2022年度-20250626_074832_039665.json20250626_103738_414928.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第80期-2023年度-20250626_074834_462409.json20250626_103738_417106.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第81期-2023年度-20250626_074834_157552.json20250626_103738_419250.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第82期-2024年度-20250626_074905_126848.json20250626_103738_421189.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第83期-2024年度-20250626_074904_824270.json20250626_103738_423424.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第84期-2024年度-20250626_074904_548201.json20250626_103738_425317.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第85期-2024年度-20250626_074904_253862.json20250626_103738_427263.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第86期-2024年度-20250626_074903_961527.json20250626_103738_430263.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第87期-2024年度-20250626_074903_661885.json20250626_103738_432472.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第88期-2024年度-20250626_074903_352064.json20250626_103738_434560.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第89期-2024年度-20250626_074903_056876.json20250626_103738_437958.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第8期-2022年度-20250626_074831_717050.json20250626_103738_439916.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第90期-2024年度-20250626_074902_751099.json20250626_103738_441862.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第91期-2024年度-20250626_074902_463854.json20250626_103738_443792.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第92期-2024年度-20250626_074902_168315.json20250626_103738_445934.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第93期-2024年度-20250626_074901_877650.json20250626_103738_448056.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第94期-2024年度-20250626_074901_603963.json20250626_103738_450683.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第95期-2024年度-20250626_074901_310652.json20250626_103738_453344.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第96期-2024年度-20250626_074901_035570.json20250626_103738_455661.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第97期-2024年度-20250626_074900_735561.json20250626_103738_457641.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第98期-2024年度-20250626_074900_445507.json20250626_103738_459587.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第99期-2024年度-20250626_074900_154404.json20250626_103738_461516.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第9期-2022年度-20250626_074831_390698.json20250626_103738_463457.json
2025-06-26 10:37:38 | INFO | bilibili-crawler | 数据清洗完成
2025-06-26 10:37:38 | INFO | bilibili-crawler | 生成数据分析报告中
2025-06-26 10:37:38 | INFO | bilibili-crawler | 数据分析报告已生成
2025-06-26 10:38:56 | INFO | bilibili-crawler | 开始数据清洗
2025-06-26 10:38:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第100期-2024年度-20250626_074859_883982.json20250626_103856_635417.json
2025-06-26 10:38:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第100期-2024年度-20250626_074859_883982.json20250626_103738_111864.json20250626_103856_642270.json
2025-06-26 10:38:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第101期-2024年度-20250626_074859_603396.json20250626_103856_648118.json
2025-06-26 10:38:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第101期-2024年度-20250626_074859_603396.json20250626_103738_115404.json20250626_103856_654416.json
2025-06-26 10:38:56 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第102期-2024年度-20250626_074859_306307.json20250626_103856_660592.json
